警告：Tool:rup_rose_rt: 未发布空的内容类别元素。
警告：Discipline:rup_deployment_discipline: 未发布空的内容类别元素。
警告：Domain:deployment: 未发布空的内容类别元素。
警告：CustomCategory:g_reports: 未发布空的内容类别元素。
警告：Tool:rup_rational_application_developer: 未发布空的内容类别元素。
警告：Tool:rup_rational_software_architect: 未发布空的内容类别元素。
警告：TaskDescriptor:perform_developer_test: 缺少被引用元素 Task:make_changes_to_configuration_items
警告：TaskDescriptor:perform_developer_test: 缺少被引用元素 Task:deliver_changes
警告：TaskDescriptor:perform_developer_test: 缺少被引用元素 Task:update_workspace
警告：TaskDescriptor:perform_developer_test: 缺少被引用元素 Task:create_development_workspace
警告：TaskDescriptor:perform_developer_test: 缺少被引用元素 Task:make_changes_to_configuration_items
警告：TaskDescriptor:perform_developer_test: 缺少被引用元素 Task:deliver_changes
警告：TaskDescriptor:perform_developer_test: 缺少被引用元素 Task:update_workspace
警告：TaskDescriptor:integrate_system: 缺少被引用元素 Task:create_baseline
警告：TaskDescriptor:integrate_system: 缺少被引用元素 Task:promote_baseline
警告：TaskDescriptor:define_test_approach: 缺少被引用元素 Task:define_testability_elements
警告：Milestone:Elaboration Milestone: 缺少被引用元素 Task:lifecycle_milestone_review
警告：Milestone:Construction Milestone: 缺少被引用元素 Task:lifecycle_milestone_review
警告：Milestone:Transition Milestone: 缺少被引用元素 Task:lifecycle_milestone_review
警告：Milestone:Transition Milestone: 缺少被引用元素 Task:project_acceptance_review
警告：Artifact:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_case
警告：Artifact:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_script
警告：Artifact:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_plan
警告：Concept:metrics: 缺少被引用元素 Guideline:metrics
警告：Concept:measuring_quality: 缺少被引用元素 Guideline:metrics
警告：Concept:measuring_quality: 缺少被引用元素 Guideline:metrics
警告：Task:define_test_approach: 缺少被引用元素 Task:define_testability_elements
警告：Discipline:rup_test_discipline: 缺少被引用元素 Discipline:rup_deployment_discipline
警告：Guideline:important_decisions_in_test: 缺少被引用元素 Artifact:rup_test_plan
警告：Guideline:important_decisions_in_test: 缺少被引用元素 Artifact:rup_test_plan
警告：Guideline:important_decisions_in_test: 缺少被引用元素 Artifact:rup_test_script
警告：Guideline:important_decisions_in_test: 缺少被引用元素 Artifact:rup_test_data
警告：Guideline:important_decisions_in_test: 缺少被引用元素 Artifact:rup_test_case
警告：Guideline:important_decisions_in_test: 缺少被引用元素 Artifact:rup_workload_analysis_model
警告：Guideline:important_decisions_in_test: 缺少被引用元素 Artifact:rup_test_class
警告：Guideline:important_decisions_in_test: 缺少被引用元素 Artifact:rup_test_component
警告：Guideline:important_decisions_in_test: 缺少被引用元素 Concept:stubs
警告：Guideline:important_decisions_in_test: 缺少被引用元素 Artifact:rup_test_automation_architecture
警告：Guideline:important_decisions_in_test: 缺少被引用元素 Artifact:rup_test_interface_specification
警告：Concept:types_of_test: 缺少被引用元素 Concept:performance_testing
警告：Concept:levels_of_test: 缺少被引用元素 Concept:acceptance_testing
警告：SupportingMaterial:continuously_verify_quality: 缺少被引用元素 CapabilityPattern:deployment
警告：Concept:test-ideas_list: 缺少被引用元素 Task:define_assessment_and_traceability_needs
警告：ToolMentor:creating_test_plan: 缺少被引用元素 Artifact:rup_test_plan
警告：ToolMentor:create_test_case: 缺少被引用元素 Artifact:rup_test_case
警告：Role:rup_system_analyst: 缺少被引用元素 Role:rup_deployment_manager
警告：Guideline:important_decisions_in_requirements: 缺少被引用元素 Artifact:rup_requirements_attributes
警告：Guideline:important_decisions_in_requirements: 缺少被引用元素 Artifact:rup_requirements_management_plan
警告：Guideline:important_decisions_in_requirements: 缺少被引用元素 Concept:traceability
警告：Guideline:important_decisions_in_requirements: 缺少被引用元素 Concept:traceability
警告：Guideline:software_requirements_specification: 缺少被引用元素 Concept:types_of_requirements
警告：Concept:change_request_management: 缺少被引用元素 Task:establish_project_change_control_process
警告：ToolMentor:manage_dependencies_tm: 缺少被引用元素 Concept:types_of_requirements
警告：ToolMentor:manage_dependencies_tm: 缺少被引用元素 Concept:types_of_requirements
警告：ToolMentor:manage_dependencies_tm: 缺少被引用元素 Concept:traceability
警告：ToolMentor:elicit_stakeholder_requests_tm: 缺少被引用元素 Concept:types_of_requirements
警告：ToolMentor:elicit_stakeholder_requests_tm: 缺少被引用元素 Concept:traceability
警告：ToolMentor:elicit_stakeholder_requests_tm: 缺少被引用元素 Task:manage_dependencies
警告：ToolMentor:setup_reqpro: 缺少被引用元素 Concept:traceability
警告：ToolMentor:create_use_case_model_survey: 缺少被引用元素 Report:use-case_model_survey
警告：ToolMentor:create_actor_report: 缺少被引用元素 Report:actor_report_-_actor_name
警告：ToolMentor:create_use_case_report: 缺少被引用元素 Report:use_case_specification_use-case_name
警告：ToolMentor:create_sad: 缺少被引用元素 Report:design-model_survey
警告：ToolMentor:create_sad: 缺少被引用元素 Report:use-case_realization_use-case_name
警告：ToolMentor:create_use_case_real_report: 缺少被引用元素 Report:use-case_realization_use-case_name
警告：ToolMentor:create_design_model_survey_report: 缺少被引用元素 Report:design-model_survey
警告：ToolMentor:create_class_report: 缺少被引用元素 Report:class_report_class_name
警告：ToolMentor:create_package_report: 缺少被引用元素 Report:design_package_subsystem
警告：Task:review_the_design: 缺少被引用元素 Artifact:rup_protocol
警告：Task:review_the_design: 缺少被引用元素 Artifact:rup_capsule
警告：Guideline:software_architecture_document: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Artifact:rup_project_repository: 缺少被引用元素 Artifact:rup_cm_plan
警告：Task:setup_cm_environment: 缺少被引用元素 Concept:product_directory_structure
警告：Task:setup_cm_environment: 缺少被引用元素 Concept:baselining
警告：Concept:development_environment: 缺少被引用元素 Artifact:rup_development_case
警告：Concept:development_environment: 缺少被引用元素 Artifact:rup_tools
警告：Concept:development_environment: 缺少被引用元素 Artifact:rup_project_specific_templates
警告：Concept:development_environment: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Concept:development_environment: 缺少被引用元素 Artifact:rup_cm_plan
警告：Concept:development_environment: 缺少被引用元素 Artifact:rup_manual_styleguide
警告：Concept:development_environment: 缺少被引用元素 Artifact:rup_test_plan
警告：Concept:development_environment: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Concept:development_environment: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Concept:development_environment: 缺少被引用元素 Artifact:rup_test_environment_configuration
警告：Task:schedule_and_assign_work: 缺少被引用元素 Task:handle_exceptions_and_problems
警告：Task:define_project_organization_and_staffing: 缺少被引用元素 Guideline:software_development_plan
警告：Task:report_status: 缺少被引用元素 Artifact:rup_issues_list
警告：Task:report_status: 缺少被引用元素 Task:monitor_project_status
警告：Task:report_status: 缺少被引用元素 Artifact:rup_project_measurements
警告：Task:plan_phases_and_iterations: 缺少被引用元素 Guideline:software_development_plan
警告：Task:plan_phases_and_iterations: 缺少被引用元素 Guideline:software_development_plan
警告：Task:assess_iteration: 缺少被引用元素 Guideline:metrics
警告：Task:assess_iteration: 缺少被引用元素 Artifact:rup_development_organization_assessment
警告：Discipline:rup_config_and_change_manage_discipline: 缺少被引用元素 Domain:deployment
警告：Guideline:important_decisions_in_configuration_change_management: 缺少被引用元素 Artifact:rup_configuration_audit_findings
警告：Guideline:important_decisions_in_configuration_change_management: 缺少被引用元素 Artifact:rup_cm_plan
警告：Guideline:important_decisions_in_configuration_change_management: 缺少被引用元素 Artifact:rup_workspace
警告：CapabilityPattern:environment: 缺少被引用元素 Artifact:rup_support_material
警告：CapabilityPattern:environment: 缺少被引用元素 Artifact:rup_manual_styleguide
警告：CapabilityPattern:environment: 缺少被引用元素 Artifact:rup_development_case
警告：Concept:implementing_a_process_in_a_project: 缺少被引用元素 Artifact:rup_development_organization_assessment
警告：Concept:implementing_a_process_in_a_project: 缺少被引用元素 Artifact:rup_development_organization_assessment
警告：Concept:implementing_a_process_in_a_project: 缺少被引用元素 Artifact:rup_tools
警告：Concept:implementing_a_process_in_a_project: 缺少被引用元素 Artifact:rup_requirements_management_plan
警告：Concept:implementing_a_process_in_a_project: 缺少被引用元素 Artifact:rup_tools
警告：Concept:environment_practices: 缺少被引用元素 Artifact:rup_development_organization_assessment
警告：Concept:environment_practices: 缺少被引用元素 Guideline:assessment_workshop
警告：Concept:environment_practices: 缺少被引用元素 Role:rup_tool_specialist
警告：Discipline:rup_project_management_discipline: 缺少被引用元素 Discipline:rup_deployment_discipline
警告：CapabilityPattern:project_management: 缺少被引用元素 Artifact:rup_software_development_plan
警告：CapabilityPattern:project_management: 缺少被引用元素 Artifact:rup_software_development_plan
警告：CapabilityPattern:project_management: 缺少被引用元素 Task:iteration_acceptance_review
警告：CapabilityPattern:project_management: 缺少被引用元素 Artifact:rup_test_plan
警告：CapabilityPattern:project_management: 缺少被引用元素 Task:project_acceptance_review
警告：Concept:iteration: 缺少被引用元素 Guideline:software_development_plan
警告：Guideline:important_decisions_in_project_management: 缺少被引用元素 Artifact:rup_measurement_plan
警告：Guideline:important_decisions_in_project_management: 缺少被引用元素 Artifact:rup_problem_resolution_plan
警告：Guideline:important_decisions_in_project_management: 缺少被引用元素 Artifact:rup_product_acceptance_plan
警告：Guideline:important_decisions_in_project_management: 缺少被引用元素 Artifact:rup_quality_assurance_plan
警告：Guideline:important_decisions_in_project_management: 缺少被引用元素 Artifact:rup_risk_management_plan
警告：Guideline:important_decisions_in_project_management: 缺少被引用元素 Artifact:rup_project_measurements
警告：Task:integrate_system: 缺少被引用元素 Task:create_baseline
警告：Task:integrate_system: 缺少被引用元素 Task:promote_baseline
警告：Task:describe_runtime_architecture: 缺少被引用元素 Artifact:rup_capsule
警告：Task:describe_runtime_architecture: 缺少被引用元素 Artifact:rup_capsule
警告：Task:structure_implementation_model: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Task:identify_design_elements: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Task:identify_design_elements: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Task:identify_design_mechanisms: 缺少被引用元素 Task:prepare_project_specific_guidelines
警告：Concept:concurrency: 缺少被引用元素 Artifact:rup_capsule
警告：Concept:concurrency: 缺少被引用元素 Artifact:rup_protocol
警告：Concept:concurrency: 缺少被引用元素 Artifact:rup_capsule
警告：Concept:design_and_implementation_mechanisms: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Concept:software_architecture: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Task:subsystem_design: 缺少被引用元素 Artifact:rup_capsule
警告：Task:subsystem_design: 缺少被引用元素 Artifact:rup_capsule
警告：Task:use_case_design: 缺少被引用元素 Artifact:rup_capsule
警告：Task:use_case_design: 缺少被引用元素 Artifact:rup_capsule
警告：Task:use_case_design: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Task:class_design: 缺少被引用元素 Artifact:rup_capsule
警告：Task:class_design: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Task:class_design: 缺少被引用元素 Artifact:rup_capsule
警告：Task:class_design: 缺少被引用元素 Artifact:rup_capsule
警告：Task:class_design: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Artifact:rup_design_subsystem: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Guideline:design_subsystem: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Guideline:design_subsystem: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Task:perform_developer_test: 缺少被引用元素 Task:create_development_workspace
警告：Task:perform_developer_test: 缺少被引用元素 Task:make_changes_to_configuration_items
警告：Task:perform_developer_test: 缺少被引用元素 Task:deliver_changes
警告：Task:perform_developer_test: 缺少被引用元素 Task:update_workspace
警告：Artifact:rup_implementation_element: 缺少被引用元素 Guideline:implementation_element
警告：Artifact:rup_implementation_element: 缺少被引用元素 Guideline:implementation_element
警告：Concept:mapping_from_design_to_code: 缺少被引用元素 Artifact:rup_development_case
警告：Concept:mapping_from_design_to_code: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Concept:developer_testing: 缺少被引用元素 Concept:stubs
警告：Guideline:important_decisions_in_analysis_design: 缺少被引用元素 Artifact:rup_protocol
警告：Guideline:important_decisions_in_analysis_design: 缺少被引用元素 Artifact:rup_capsule
警告：Concept:component: 缺少被引用元素 Guideline:implementation_element
警告：Discipline:rup_implementation_discipline: 缺少被引用元素 Discipline:rup_deployment_discipline
警告：Guideline:important_decisions_in_implementation: 缺少被引用元素 Artifact:rup_test_plan
警告：Concept:process_view: 缺少被引用元素 Artifact:rup_capsule
警告：Concept:process_view: 缺少被引用元素 Artifact:rup_protocol
警告：Concept:process_view: 缺少被引用元素 Artifact:rup_capsule
警告：Guideline:concurrency: 缺少被引用元素 Artifact:rup_protocol
警告：Guideline:concurrency: 缺少被引用元素 Artifact:rup_capsule
警告：Concept:structured_class: 缺少被引用元素 Artifact:rup_capsule
警告：Concept:structured_class: 缺少被引用元素 Guideline:capsule
警告：Concept:structured_class: 缺少被引用元素 Artifact:rup_capsule
警告：Concept:structured_class: 缺少被引用元素 Guideline:capsule
警告：Guideline:design_model: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Guideline:implementation_model: 缺少被引用元素 Guideline:implementation_element
警告：Concept:agile_practices_and_rup: 缺少被引用元素 Artifact:rup_test_plan
警告：Concept:agile_practices_and_rup: 缺少被引用元素 Artifact:rup_test_case
警告：Concept:agile_practices_and_rup: 缺少被引用元素 Artifact:rup_test_script
警告：Concept:agile_practices_and_rup: 缺少被引用元素 Artifact:rup_test_data
警告：Concept:agile_practices_and_rup: 缺少被引用元素 Artifact:rup_deployment_unit
警告：Concept:agile_practices_and_rup: 缺少被引用元素 Artifact:rup_release_notes
警告：Concept:agile_practices_and_rup: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Concept:agile_practices_and_rup: 缺少被引用元素 Artifact:rup_development_case
警告：Concept:agile_practices_and_rup: 缺少被引用元素 Artifact:rup_test_environment_configuration
警告：Concept:agile_practices_and_rup: 缺少被引用元素 Artifact:rup_workspace
警告：Concept:agile_practices_and_rup: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Concept:agile_practices_and_rup: 缺少被引用元素 Artifact:rup_support_material
警告：Concept:agile_practices_and_rup: 缺少被引用元素 Artifact:rup_support_material
警告：Concept:agile_practices_and_rup: 缺少被引用元素 Role:rup_deployment_manager
警告：Concept:agile_practices_and_rup: 缺少被引用元素 Role:rup_technical_writer
警告：SupportingMaterial:process_essentials: 缺少被引用元素 CapabilityPattern:deployment
警告：Concept:developing_component_solutions: 缺少被引用元素 Task:prepare_project_specific_guidelines
警告：Concept:developing_component_solutions: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Concept:developing_e-business_solutions: 缺少被引用元素 Concept:performance_testing
警告：Concept:developing_e-business_solutions: 缺少被引用元素 Task:prepare_project_specific_guidelines
警告：Concept:developing_e-business_solutions: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Concept:developing_e-business_solutions: 缺少被引用元素 Task:prepare_project_specific_guidelines
警告：Concept:usability_engineering: 缺少被引用元素 Role:rup_deployment_manager
警告：Concept:usability_engineering: 缺少被引用元素 Role:rup_course_developer
警告：Concept:usability_engineering: 缺少被引用元素 Role:rup_technical_writer
警告：Concept:usability_engineering: 缺少被引用元素 Guideline:assessment_workshop
警告：Concept:usability_engineering: 缺少被引用元素 Task:manage_dependencies
警告：Concept:usability_engineering: 缺少被引用元素 Artifact:rup_requirements_attributes
警告：Concept:usability_engineering: 缺少被引用元素 Concept:performance_testing
警告：Concept:usability_engineering: 缺少被引用元素 Activity:beta_test_product
警告：Concept:usability_engineering: 缺少被引用元素 Activity:manage_acceptance_test
警告：Concept:usability_engineering: 缺少被引用元素 Activity:develop_support_material
警告：Concept:usability_engineering: 缺少被引用元素 Task:develop_development_case
警告：Concept:usability_engineering: 缺少被引用元素 Artifact:rup_development_case
警告：Concept:usability_engineering: 缺少被引用元素 Task:prepare_project_specific_guidelines
警告：Concept:usability_engineering: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Concept:usability_engineering: 缺少被引用元素 Task:lifecycle_milestone_review
警告：Concept:usability_engineering: 缺少被引用元素 Concept:performance_testing
警告：Concept:usability_engineering: 缺少被引用元素 Concept:performance_testing
警告：Concept:usability_engineering: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Concept:usability_engineering: 缺少被引用元素 CapabilityPattern:deployment
警告：SupportingMaterial:welcome: 缺少被引用元素 Discipline:rup_business_modeling_discipline
警告：SupportingMaterial:welcome: 缺少被引用元素 Discipline:rup_deployment_discipline
警告：Activity:manage_the_scope_of_the_system: 缺少被引用元素 Concept:types_of_requirements
警告：Activity:manage_the_scope_of_the_system: 缺少被引用元素 Artifact:rup_requirements_attributes
警告：Activity:manage_the_scope_of_the_system: 缺少被引用元素 Concept:traceability
警告：Activity:manage_the_scope_of_the_system: 缺少被引用元素 Task:manage_dependencies
警告：Activity:manage_the_scope_of_the_system: 缺少被引用元素 Artifact:rup_requirements_attributes
警告：Activity:define_the_system: 缺少被引用元素 Concept:traceability
警告：Activity:define_the_system: 缺少被引用元素 Task:manage_dependencies
警告：Concept:lifecycle_objectives: 缺少被引用元素 Artifact:rup_product_acceptance_plan
警告：Concept:lifecycle_architecture: 缺少被引用元素 Artifact:rup_test_automation_architecture
警告：Concept:lifecycle_architecture: 缺少被引用元素 Artifact:rup_test_plan
警告：Concept:lifecycle_architecture: 缺少被引用元素 Artifact:rup_support_material
警告：Concept:initial_operational_capability: 缺少被引用元素 Artifact:rup_deployment_plan
警告：Concept:initial_operational_capability: 缺少被引用元素 Artifact:rup_support_material
警告：Activity:close-out_project: 缺少被引用元素 Task:project_acceptance_review
警告：Concept:product_release: 缺少被引用元素 Task:project_acceptance_review
警告：Concept:product_release: 缺少被引用元素 Artifact:rup_product
警告：Concept:product_release: 缺少被引用元素 Artifact:rup_support_material
警告：Guideline:testing_and_evaluating_components: 缺少被引用元素 Concept:stubs
警告：Guideline:testing_and_evaluating_classes: 缺少被引用元素 Concept:stubs
警告：Guideline:implementation_subsystem: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Guideline:test_case: 缺少被引用元素 Artifact:rup_workload_analysis_model
警告：Guideline:test_case: 缺少被引用元素 Guideline:test_data
警告：Guideline:development_process_workshop: 缺少被引用元素 Role:rup_tool_specialist
警告：Guideline:process_tailoring_practices: 缺少被引用元素 Artifact:rup_product
警告：Guideline:requirements_workshop: 缺少被引用元素 Artifact:rup_requirements_attributes
警告：Guideline:use-case_workshop: 缺少被引用元素 Concept:types_of_requirements
警告：Guideline:use-case_workshop: 缺少被引用元素 Concept:traceability
警告：Guideline:use-case_workshop: 缺少被引用元素 Concept:types_of_requirements
警告：Guideline:use-case_workshop: 缺少被引用元素 Concept:traceability
警告：Example:collegiate_sports_paging_system: 缺少被引用元素 Artifact:rup_development_case
警告：Example:collegiate_sports_paging_system: 缺少被引用元素 Artifact:rup_requirements_management_plan
警告：Example:collegiate_sports_paging_system: 缺少被引用元素 Artifact:rup_test_plan
警告：Example:collegiate_sports_paging_system: 缺少被引用元素 Artifact:rup_release_notes
警告：RoleDescriptor:rup_system_analyst: 缺少被引用元素 Role:rup_deployment_manager
警告：WorkProductDescriptor:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_case
警告：WorkProductDescriptor:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_script
警告：WorkProductDescriptor:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_plan
警告：WorkProductDescriptor:rup_design_subsystem: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：WorkProductDescriptor:rup_project_repository: 缺少被引用元素 Artifact:rup_cm_plan
警告：CapabilityPattern:rup_phases: 缺少被引用元素 DeliveryProcess:classic_rup
警告：RoleDescriptor:rup_system_analyst: 缺少被引用元素 Role:rup_deployment_manager
警告：Activity:prepare_environment_for_project: 缺少被引用元素 Artifact:rup_development_organization_assessment
警告：Artifact:rup_development_organization_assessment: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Activity:create_project_configuration_management_cm_environments: 缺少被引用元素 Concept:product_directory_structure
警告：Activity:create_project_configuration_management_cm_environments: 缺少被引用元素 Concept:workspaces
警告：Concept:product_directory_structure: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Concept:workspaces: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Concept:baselining: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Task:compile_software_development_plan: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_development_case: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Activity:Refine the Project Plan: 缺少被引用元素 Task:compile_software_development_plan
警告：Activity:Refine the Project Plan: 缺少被引用元素 Artifact:rup_development_case
警告：Guideline:software_development_plan: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Activity:monitor_control_project: 缺少被引用元素 Task:monitor_project_status
警告：Activity:monitor_control_project: 缺少被引用元素 Artifact:rup_problem_resolution_plan
警告：Task:monitor_project_status: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_problem_resolution_plan: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Task:handle_exceptions_and_problems: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_issues_list: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
